id,separation_type,cease_date,dete_start_date,position,region,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,maternity/family,relocation,study/travel,ill_health,traumatic_incident,none_of_the_above,gender,age,aboriginal,south_sea,disability,nesb,institute_service,dissatisfaction,institute
41,Resignation,2012,1977.0,Teacher,South East,Permanent Full-time,True,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,Veteran,False,DETE
42,Resignation,2012,1974.0,Head of Curriculum/Head of Special Education,Metropolitan,Permanent Full-time,False,False,True,False,False,False,False,False,False,Female,51-55,False,False,False,False,Veteran,True,DETE
43,Resignation,2012,2011.0,Cleaner,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,41-45,False,False,False,False,New,False,DETE
44,Resignation,2012,1976.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,Veteran,True,DETE
45,Retirement,2012,1985.0,Teacher,Metropolitan,Permanent Part-time,False,True,False,False,False,False,False,False,False,Female,51-55,False,False,False,False,Veteran,True,DETE
46,Retirement,2012,1999.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,46-50,False,False,False,False,Veteran,True,DETE
47,Retirement,2012,2008.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,Experienced,False,DETE
48,Retirement,2012,1980.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
49,Resignation,2012,2009.0,Cleaner,South East,Permanent Full-time,False,False,False,False,True,False,False,False,False,Male,21-25,False,False,False,False,Experienced,False,DETE
50,Retirement,2012,1963.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
51,Resignation,2012,2009.0,Cleaner,South East,Permanent Full-time,False,False,False,False,True,False,False,False,False,Male,21-25,False,False,False,False,Experienced,False,DETE
52,Resignation,2012,1993.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
53,Other,2012,1982.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
55,Retirement,2012,1979.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
56,Resignation,2012,2008.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,26-30,False,False,False,False,Experienced,False,DETE
57,Retirement,2012,1990.0,Teacher Aide,Central Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
58,Resignation,2012,2003.0,Teacher,Darling Downs South West,Permanent Full-time,False,True,False,False,False,False,False,False,False,Male,46-50,False,False,False,False,Established,False,DETE
59,Retirement,2012,1980.0,Teacher,North Queensland,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,51-55,False,False,False,False,Veteran,True,DETE
61,Retirement,2012,1977.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,46-50,False,False,False,False,Veteran,True,DETE
62,Resignation,2012,2011.0,Schools Officer,Central Queensland,Temporary Part-time,False,False,False,False,True,False,False,False,False,Female,31-35,False,False,False,False,New,False,DETE
63,Retirement,2012,1990.0,Teacher Aide,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
64,Retirement,2012,1989.0,Schools Officer,Metropolitan,Permanent Full-time,False,False,False,False,False,False,True,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
65,Retirement,2012,1969.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Veteran,True,DETE
66,Retirement,2012,1966.0,Head of Curriculum/Head of Special Education,South East,Permanent Full-time,False,False,False,False,False,False,False,True,False,Female,61 or older,False,False,False,False,Veteran,False,DETE
67,Other,2012,1969.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Veteran,True,DETE
69,Retirement,2012,1980.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
70,Resignation,2012,2006.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,Experienced,True,DETE
71,Retirement,2012,1975.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
72,Resignation,2012,2011.0,Teacher Aide,Far North Queensland,Permanent Part-time,False,False,False,False,True,False,False,False,False,Female,36-40,False,False,False,False,New,False,DETE
74,Contract Expired,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,False,Experienced,False,DETE
75,Retirement,2012,1975.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
76,Contract Expired,2012,2010.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,True,New,False,DETE
77,Retirement,2012,1984.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,Veteran,False,DETE
78,Termination,2012,2007.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,51-55,False,False,False,False,Experienced,False,DETE
79,Contract Expired,2012,2008.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,21-25,False,False,False,False,Experienced,False,DETE
80,Termination,2012,2007.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,True,False,Male,26-30,False,False,False,False,Experienced,False,DETE
81,Contract Expired,2012,1968.0,Public Servant,Central Office,Temporary Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
82,Contract Expired,2012,2011.0,Technical Officer,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Female,21-25,False,False,True,False,New,False,DETE
83,Retirement,2012,1991.0,Deputy Principal,Not Stated,Permanent Full-time,False,False,True,False,False,False,False,False,False,Female,51-55,True,False,False,False,Veteran,True,DETE
84,Contract Expired,2012,2011.0,Public Servant,Metropolitan,Temporary Full-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,True,New,False,DETE
85,Termination,2012,2010.0,Public Servant,Not Stated,Temporary Full-time,False,False,False,False,False,False,False,False,True,Female,56-60,False,False,False,False,New,False,DETE
86,Retirement,2012,1971.0,School Principal,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
87,Termination,2012,2011.0,Public Servant,South East,Temporary Full-time,False,False,False,False,False,False,False,True,False,Female,56-60,False,False,False,False,New,False,DETE
88,Resignation,2012,2007.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,True,True,False,False,False,Female,26-30,False,False,False,False,Experienced,False,DETE
89,Termination,2012,2002.0,Public Servant,Metropolitan,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,46-50,False,False,False,False,Established,False,DETE
90,Retirement,2013,1972.0,Teacher,Central Queensland,Permanent Part-time,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
91,Resignation,2012,1986.0,Teacher Aide,North Coast,Permanent Part-time,True,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Veteran,False,DETE
92,Retirement,2012,1975.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,True,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
93,Retirement,2012,1972.0,Head of Curriculum/Head of Special Education,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
94,Resignation,2012,2002.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Established,True,DETE
95,Retirement,2012,1973.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,51-55,False,False,False,True,Veteran,True,DETE
96,Retirement,2012,1979.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,Veteran,True,DETE
97,Retirement,2012,1971.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
98,Retirement,2012,1978.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,Veteran,False,DETE
99,Retirement,2012,2002.0,Schools Officer,North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Established,True,DETE
100,Resignation,2012,2011.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,True,False,False,False,False,False,Male,31-35,False,False,False,False,New,True,DETE
101,Resignation,2012,2006.0,Teacher Aide,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,Experienced,True,DETE
102,Retirement,2012,1978.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,Veteran,False,DETE
103,Resignation,2012,2002.0,Teacher,Darling Downs South West,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,Established,False,DETE
104,Resignation,2012,2004.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,51-55,False,False,False,False,Established,True,DETE
105,Retirement,2012,1979.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
106,Retirement,2012,2000.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
108,Retirement,2012,1998.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
109,Resignation,2012,2008.0,Technical Officer,Central Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,31-35,False,False,False,False,Experienced,False,DETE
110,Retirement,2012,1990.0,Public Servant,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
111,Retirement,2012,1991.0,Teacher,Not Stated,Permanent Part-time,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
112,Resignation,2012,2004.0,Teacher,Far North Queensland,Permanent Full-time,True,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,Established,False,DETE
113,Resignation,2012,2007.0,Cleaner,North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Experienced,True,DETE
114,Retirement,2012,2009.0,Schools Officer,Not Stated,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,True,False,False,False,Experienced,False,DETE
115,Resignation,2012,1997.0,Guidance Officer,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Veteran,True,DETE
116,Retirement,2012,1974.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
117,Resignation,2012,1976.0,Teacher,South East,Permanent Full-time,False,False,True,False,False,False,False,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
118,Retirement,2012,1986.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
119,Resignation,2012,2010.0,Teacher,Not Stated,Permanent Full-time,True,False,False,False,False,False,False,False,False,Female,46-50,False,False,False,False,New,True,DETE
120,Contract Expired,2012,2008.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,31-35,False,False,False,False,Experienced,False,DETE
121,Termination,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,Experienced,True,DETE
123,Retirement,2012,1979.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,Veteran,False,DETE
125,Resignation,2012,2012.0,Public Servant,Darling Downs South West,Permanent Part-time,False,True,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,New,True,DETE
126,Retirement,2012,1991.0,Cleaner,Far North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,True,Veteran,False,DETE
127,Resignation,2012,1980.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,Veteran,True,DETE
128,Retirement,2013,1989.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,51-55,False,False,False,False,Veteran,True,DETE
129,Retirement,2012,1977.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,Veteran,False,DETE
130,Retirement,2012,1975.0,Head of Curriculum/Head of Special Education,North Queensland,Permanent Part-time,False,False,False,False,False,False,False,True,False,Female,56-60,False,False,False,False,Veteran,True,DETE
131,Resignation,2012,2012.0,Public Servant,Central Office,Temporary Full-time,True,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,New,True,DETE
132,Retirement,2012,1990.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
133,Resignation,2012,2007.0,Cleaner,North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Experienced,True,DETE
135,Retirement,2012,1983.0,Business Service Manager,Far North Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,Male,46-50,False,False,False,False,Veteran,True,DETE
136,Resignation,2012,1994.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
138,Retirement,2012,2001.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
139,Resignation,2012,2004.0,Teacher Aide,Darling Downs South West,Permanent Part-time,False,True,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Established,False,DETE
140,Retirement,2012,1974.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,True,False,False,Male,56-60,False,False,False,False,Veteran,False,DETE
142,Retirement,2012,1973.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,True,False,False,Male,56-60,False,False,False,False,Veteran,True,DETE
143,Retirement,2012,1983.0,Head of Curriculum/Head of Special Education,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,Veteran,False,DETE
145,Retirement,2012,1971.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,Veteran,True,DETE
146,Resignation,2012,2007.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,True,False,False,Male,61 or older,False,False,False,False,Experienced,False,DETE
148,Resignation,2012,2003.0,Public Servant,Metropolitan,Permanent Full-time,False,True,False,False,False,False,False,False,False,Male,26-30,False,False,False,False,Established,True,DETE
149,Retirement,2012,1997.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
150,Other,2012,2008.0,Public Servant,Central Office,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,Experienced,True,DETE
151,Termination,2012,1996.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
153,Other,2012,1993.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,True,Veteran,True,DETE
154,Termination,2012,2002.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,36-40,False,False,False,True,Established,False,DETE
155,Retirement,2012,1971.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,Veteran,True,DETE
156,Retirement,2012,2006.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,21-25,False,False,False,False,Experienced,True,DETE
157,Other,2012,2007.0,Technical Officer,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,False,Experienced,False,DETE
158,Other,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,True,Male,21-25,False,False,False,False,Experienced,False,DETE
159,Resignation,2012,2011.0,Public Servant,Central Office,Temporary Part-time,True,False,False,False,False,False,False,False,False,Male,21-25,False,False,False,False,New,False,DETE
160,Retirement,2012,1970.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
161,Resignation,2012,2003.0,Cleaner,South East,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Established,True,DETE
162,Retirement,2012,1980.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,56-60,False,False,False,False,Veteran,False,DETE
163,Other,2012,2007.0,Public Servant,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,36-40,False,False,False,False,Experienced,False,DETE
164,Retirement,2012,1969.0,Professional Officer,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,Veteran,False,DETE
165,Resignation,2012,2005.0,Teacher Aide,Central Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,Established,True,DETE
166,Retirement,2012,2005.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,26-30,True,False,False,False,Established,True,DETE
167,Other,2012,1997.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,46-50,False,False,False,False,Veteran,False,DETE
168,Other,2012,2004.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,36-40,False,False,False,False,Established,False,DETE
169,Other,2012,2008.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Experienced,True,DETE
171,Other,2012,2009.0,Public Servant,Central Office,Permanent Full-time,False,False,True,False,False,False,False,False,False,Female,46-50,False,False,False,False,Experienced,True,DETE
172,Retirement,2012,1987.0,Professional Officer,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,46-50,False,False,False,False,Veteran,True,DETE
173,Other,2012,1975.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,Veteran,True,DETE
174,Other,2012,2002.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,Established,False,DETE
175,Retirement,2012,2007.0,Public Servant,Central Office,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,31-35,False,False,False,True,Experienced,False,DETE
176,Retirement,2012,2005.0,Public Servant,Central Office,Permanent Part-time,False,False,False,True,False,False,False,False,False,Female,26-30,False,False,False,False,Established,True,DETE
177,Retirement,2012,2004.0,Public Servant,Central Office,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,26-30,False,False,True,False,Established,False,DETE
178,Retirement,2012,1997.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,Veteran,True,DETE
179,Retirement,2012,1996.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Male,41-45,True,False,False,False,Veteran,True,DETE
180,Resignation,2012,2012.0,Cleaner,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,New,True,DETE
181,Retirement,2012,2010.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,New,True,DETE
182,Retirement,2012,2006.0,Public Servant,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,31-35,False,True,False,False,Experienced,True,DETE
183,Other,2012,2010.0,Professional Officer,Metropolitan,Temporary Full-time,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,New,False,DETE
184,Resignation,2012,1998.0,Cleaner,Far North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,Female,61 or older,False,True,False,False,Veteran,True,DETE
185,Other,2012,2006.0,Public Servant,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,True,Female,41-45,False,False,False,False,Experienced,False,DETE
186,Resignation,2012,2005.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,True,False,False,False,False,False,Female,31-35,False,False,False,False,Established,True,DETE
187,Other,2012,1992.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,Veteran,False,DETE
188,Retirement,2012,2007.0,Public Servant,Central Office,Permanent Full-time,False,True,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,Experienced,False,DETE
