age,career_move_to_private_sector,career_move_to_public_sector,cease_date,dissatisfaction,employment_status,gender,id,ill_health,institute,institute_service,maternity/family,none_of_the_above,position,separation_type,study/travel
26-30,False,False,2012,False,Permanent Part-time,Female,56.0,False,DETE,Experienced,False,True,Teacher Aide,Resignation,False
61 or older,False,False,2012,True,Permanent Part-time,Female,57.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,False
46-50,True,False,2012,False,Permanent Full-time,Male,58.0,False,DETE,Established,False,False,Teacher,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Female,59.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
46-50,False,False,2012,True,Permanent Full-time,Male,61.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
31-35,False,False,2012,False,Temporary Part-time,Female,62.0,False,DETE,New,False,False,Schools Officer,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,63.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,64.0,True,DETE,Veteran,False,False,Schools Officer,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Male,65.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,66.0,False,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Male,67.0,False,DETE,Veteran,False,False,Teacher,Other,False
61 or older,False,False,2012,True,Permanent Part-time,Female,69.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
36-40,False,False,2012,True,Permanent Full-time,Female,70.0,False,DETE,Experienced,False,False,Public Servant,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Female,71.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
36-40,False,False,2012,False,Permanent Part-time,Female,72.0,False,DETE,New,False,False,Teacher Aide,Resignation,False
26-30,False,False,2012,False,Temporary Full-time,Male,74.0,False,DETE,Experienced,False,True,Public Servant,Contract Expired,False
56-60,False,False,2012,True,Permanent Full-time,Female,75.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
26-30,False,False,2012,False,Temporary Full-time,Male,76.0,False,DETE,New,False,True,Public Servant,Contract Expired,False
56-60,False,False,2012,False,Permanent Full-time,Female,77.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
51-55,False,False,2012,False,Temporary Full-time,Male,78.0,False,DETE,Experienced,False,True,Public Servant,Termination,False
21-25,False,False,2012,False,Temporary Full-time,Male,79.0,False,DETE,Experienced,False,True,Public Servant,Contract Expired,False
26-30,False,False,2012,False,Temporary Full-time,Male,80.0,False,DETE,Experienced,False,False,Public Servant,Termination,False
61 or older,False,False,2012,False,Temporary Part-time,Female,81.0,False,DETE,Veteran,False,True,Public Servant,Contract Expired,False
21-25,False,False,2012,False,Temporary Full-time,Female,82.0,False,DETE,New,False,True,Technical Officer,Contract Expired,False
51-55,False,False,2012,True,Permanent Full-time,Female,83.0,False,DETE,Veteran,False,False,Deputy Principal,Retirement,False
41-45,False,False,2012,False,Temporary Full-time,Female,84.0,False,DETE,New,False,False,Public Servant,Contract Expired,False
56-60,False,False,2012,False,Temporary Full-time,Female,85.0,False,DETE,New,False,True,Public Servant,Termination,False
56-60,False,False,2012,True,Permanent Full-time,Male,86.0,False,DETE,Veteran,False,False,School Principal,Retirement,False
56-60,False,False,2012,False,Temporary Full-time,Female,87.0,False,DETE,New,False,False,Public Servant,Termination,False
26-30,False,False,2012,False,Permanent Full-time,Female,88.0,False,DETE,Experienced,False,False,Teacher,Resignation,True
46-50,False,False,2012,False,Temporary Full-time,Male,89.0,False,DETE,Established,False,True,Public Servant,Termination,False
56-60,False,False,2013,True,Permanent Part-time,Female,90.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
41-45,False,True,2012,False,Permanent Part-time,Female,91.0,False,DETE,Veteran,False,False,Teacher Aide,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Male,92.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Female,93.0,False,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
41-45,False,False,2012,True,Permanent Full-time,Female,94.0,False,DETE,Established,False,False,Teacher,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Female,95.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
51-55,False,False,2012,True,Permanent Full-time,Male,96.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,97.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,98.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Male,99.0,False,DETE,Established,False,False,Schools Officer,Retirement,False
31-35,False,False,2012,True,Permanent Full-time,Male,100.0,False,DETE,New,True,False,Teacher,Resignation,False
36-40,False,False,2012,True,Permanent Part-time,Female,101.0,False,DETE,Experienced,False,False,Teacher Aide,Resignation,False
51-55,False,False,2012,False,Permanent Full-time,Female,102.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
51-55,False,False,2012,False,Permanent Part-time,Female,103.0,False,DETE,Established,False,True,Teacher,Resignation,False
51-55,False,False,2012,True,Permanent Part-time,Female,104.0,False,DETE,Established,False,False,Teacher,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,105.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
56-60,False,False,2012,True,Permanent Part-time,Female,106.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,False
56-60,False,False,2012,True,Permanent Part-time,Female,108.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
31-35,False,False,2012,False,Permanent Part-time,Female,109.0,False,DETE,Experienced,False,False,Technical Officer,Resignation,False
61 or older,False,False,2012,True,Permanent Full-time,Female,110.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
61 or older,False,False,2012,True,Permanent Part-time,Female,111.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
26-30,False,True,2012,False,Permanent Full-time,Female,112.0,False,DETE,Established,False,False,Teacher,Resignation,False
56-60,False,False,2012,True,Permanent Part-time,Female,113.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
56-60,False,False,2012,False,Temporary Full-time,Male,114.0,False,DETE,Experienced,False,True,Schools Officer,Retirement,False
41-45,False,False,2012,True,Permanent Full-time,Female,115.0,False,DETE,Veteran,False,False,Guidance Officer,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Female,116.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,117.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
56-60,False,False,2012,True,Permanent Part-time,Female,118.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,False
46-50,False,True,2012,True,Permanent Full-time,Female,119.0,False,DETE,New,False,False,Teacher,Resignation,False
31-35,False,False,2012,False,Temporary Full-time,Male,120.0,False,DETE,Experienced,False,True,Public Servant,Contract Expired,False
26-30,False,False,2012,True,Temporary Full-time,Female,121.0,False,DETE,Experienced,False,False,Public Servant,Termination,False
61 or older,False,False,2012,False,Permanent Full-time,Male,123.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
36-40,True,False,2012,True,Permanent Part-time,Female,125.0,False,DETE,New,False,False,Public Servant,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Male,126.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
51-55,False,False,2012,True,Permanent Full-time,Male,127.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
51-55,False,False,2013,True,Permanent Full-time,Female,128.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,129.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Part-time,Female,130.0,False,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
51-55,False,True,2012,True,Temporary Full-time,Male,131.0,False,DETE,New,False,False,Public Servant,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,132.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
41-45,False,False,2012,True,Permanent Part-time,Female,133.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
46-50,True,False,2012,True,Permanent Full-time,Male,135.0,False,DETE,Veteran,False,False,Business Service Manager,Retirement,False
56-60,False,False,2012,True,Permanent Part-time,Female,136.0,False,DETE,Veteran,False,False,Teacher Aide,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Female,138.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
41-45,True,False,2012,False,Permanent Part-time,Female,139.0,False,DETE,Established,False,False,Teacher Aide,Resignation,False
56-60,False,False,2012,False,Permanent Full-time,Male,140.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,142.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,143.0,True,DETE,Veteran,False,False,Head of Curriculum/Head of Special Education,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Female,145.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Part-time,Male,146.0,True,DETE,Experienced,False,False,Cleaner,Resignation,False
26-30,True,False,2012,True,Permanent Full-time,Male,148.0,False,DETE,Established,False,False,Public Servant,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,149.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
26-30,True,False,2012,True,Permanent Full-time,Female,150.0,False,DETE,Experienced,False,False,Public Servant,Other,False
61 or older,False,False,2012,False,Permanent Full-time,Female,151.0,False,DETE,Veteran,False,True,Public Servant,Termination,False
36-40,False,False,2012,True,Permanent Full-time,Female,153.0,False,DETE,Veteran,False,False,Public Servant,Other,False
36-40,False,False,2012,False,Permanent Full-time,Female,154.0,False,DETE,Established,False,True,Public Servant,Termination,False
61 or older,False,False,2012,True,Permanent Full-time,Male,155.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
21-25,False,False,2012,True,Permanent Full-time,Female,156.0,False,DETE,Experienced,False,False,Public Servant,Retirement,False
26-30,False,False,2012,False,Temporary Full-time,Male,157.0,False,DETE,Experienced,False,True,Technical Officer,Other,False
21-25,False,False,2012,False,Temporary Full-time,Male,158.0,False,DETE,Experienced,False,True,Public Servant,Other,False
21-25,False,True,2012,False,Temporary Part-time,Male,159.0,False,DETE,New,False,False,Public Servant,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Female,160.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
41-45,False,False,2012,True,Permanent Part-time,Female,161.0,False,DETE,Established,False,False,Cleaner,Resignation,False
56-60,False,False,2012,False,Permanent Full-time,Female,162.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
36-40,False,False,2012,False,Permanent Full-time,Female,163.0,False,DETE,Experienced,False,True,Public Servant,Other,False
61 or older,False,False,2012,False,Permanent Full-time,Male,164.0,False,DETE,Veteran,False,True,Professional Officer,Retirement,False
41-45,True,False,2012,True,Permanent Full-time,Female,165.0,False,DETE,Established,False,False,Teacher Aide,Resignation,False
26-30,False,False,2012,True,Permanent Full-time,Male,166.0,False,DETE,Established,False,False,Public Servant,Retirement,False
46-50,False,False,2012,False,Permanent Full-time,Female,167.0,False,DETE,Veteran,False,True,Public Servant,Other,False
36-40,False,False,2012,False,Permanent Full-time,Female,168.0,False,DETE,Established,False,True,Public Servant,Other,False
61 or older,False,False,2012,True,Permanent Full-time,Female,169.0,False,DETE,Experienced,False,False,Public Servant,Other,False
46-50,False,False,2012,True,Permanent Full-time,Female,171.0,False,DETE,Experienced,False,False,Public Servant,Other,False
46-50,False,False,2012,True,Permanent Full-time,Male,172.0,False,DETE,Veteran,False,False,Professional Officer,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Female,173.0,False,DETE,Veteran,False,False,Public Servant,Other,False
56-60,False,False,2012,False,Permanent Full-time,Male,174.0,False,DETE,Established,False,True,Public Servant,Other,False
31-35,True,False,2012,False,Permanent Full-time,Female,175.0,False,DETE,Experienced,False,False,Public Servant,Retirement,False
26-30,False,False,2012,True,Permanent Part-time,Female,176.0,False,DETE,Established,True,False,Public Servant,Retirement,False
26-30,True,False,2012,False,Permanent Full-time,Female,177.0,False,DETE,Established,False,False,Public Servant,Retirement,False
26-30,False,False,2012,True,Permanent Full-time,Female,178.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
41-45,False,False,2012,True,Permanent Full-time,Male,179.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
36-40,False,False,2012,True,Permanent Full-time,Female,180.0,False,DETE,New,False,False,Cleaner,Resignation,False
26-30,False,False,2012,True,Permanent Full-time,Female,181.0,False,DETE,New,False,False,Public Servant,Retirement,False
31-35,False,False,2012,True,Permanent Part-time,Female,182.0,False,DETE,Experienced,False,False,Public Servant,Retirement,False
51-55,False,False,2012,False,Temporary Full-time,Female,183.0,False,DETE,New,False,True,Professional Officer,Other,False
61 or older,False,False,2012,True,Permanent Part-time,Female,184.0,False,DETE,Veteran,False,False,Cleaner,Resignation,False
41-45,False,False,2012,False,Permanent Part-time,Female,185.0,False,DETE,Experienced,False,True,Public Servant,Other,False
31-35,False,False,2012,True,Permanent Part-time,Female,186.0,False,DETE,Established,True,False,Cleaner,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Female,187.0,False,DETE,Veteran,False,True,Public Servant,Other,False
26-30,True,False,2012,False,Permanent Full-time,Female,188.0,False,DETE,Experienced,False,False,Public Servant,Retirement,False
26-30,True,False,2012,False,Permanent Full-time,Female,189.0,False,DETE,Experienced,False,False,Public Servant,Other,False
41-45,False,False,2012,True,Permanent Full-time,Female,190.0,False,DETE,Experienced,False,False,Public Servant,Resignation,False
56-60,False,False,2012,True,Permanent Full-time,Female,191.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Female,192.0,False,DETE,Veteran,False,True,Public Servant,Other,False
46-50,False,False,2012,False,Permanent Full-time,Female,193.0,False,DETE,Veteran,False,False,Teacher Aide,Resignation,False
31-35,False,False,2012,False,Permanent Full-time,Male,194.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
61 or older,False,False,2013,True,Permanent Part-time,Female,195.0,False,DETE,Veteran,True,False,Teacher,Retirement,False
46-50,False,True,2012,False,Permanent Full-time,Female,196.0,False,DETE,Veteran,False,False,Technical Officer,Resignation,False
31-35,False,False,2012,True,Permanent Full-time,Female,198.0,False,DETE,Established,False,False,Public Servant,Resignation,False
46-50,False,False,2012,False,Permanent Part-time,Female,199.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Part-time,Female,200.0,False,DETE,Established,False,True,Cleaner,Retirement,False
51-55,False,False,2012,False,Permanent Full-time,Female,201.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
56-60,False,False,2012,False,Permanent Part-time,Female,202.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
46-50,False,False,2012,True,Permanent Part-time,Female,203.0,True,DETE,Established,False,False,Teacher Aide,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Female,204.0,False,DETE,Veteran,False,False,Other,Other,False
21-25,True,False,2012,False,Permanent Part-time,Female,205.0,False,DETE,Experienced,False,False,Public Servant,Resignation,False
36-40,False,False,2012,True,Permanent Part-time,Female,206.0,False,DETE,Experienced,False,False,Teacher Aide,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Male,207.0,False,DETE,Veteran,False,False,Public Servant,Termination,False
61 or older,False,False,2012,False,Permanent Full-time,Female,209.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
46-50,False,False,2012,True,Permanent Part-time,Female,210.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
51-55,False,False,2012,False,Permanent Part-time,Female,211.0,False,DETE,Experienced,False,False,Professional Officer,Resignation,False
61 or older,False,False,2012,True,Permanent Part-time,Female,212.0,False,DETE,Veteran,False,False,Teacher Aide,Retirement,False
61 or older,False,False,2012,True,Permanent Part-time,Male,213.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
61 or older,False,False,2012,False,Permanent Part-time,Female,215.0,False,DETE,Veteran,False,False,School Administrative Staff,Resignation,False
51-55,False,False,2012,True,Permanent Full-time,Male,216.0,False,DETE,Veteran,False,False,Public Servant,Termination,False
51-55,False,False,2013,True,Permanent Full-time,Female,217.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2013,False,Permanent Part-time,Male,218.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
51-55,False,False,2012,True,Permanent Part-time,Female,219.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,True,Permanent Part-time,Female,220.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
56-60,False,False,2012,False,Permanent Part-time,Female,221.0,True,DETE,Experienced,False,False,Cleaner,Retirement,False
51-55,False,False,2012,False,Permanent Part-time,Female,222.0,False,DETE,Veteran,False,True,Teacher,Retirement,False
36-40,False,False,2012,False,Temporary Full-time,Female,223.0,False,DETE,New,False,True,Public Servant,Contract Expired,False
51-55,False,False,2012,True,Permanent Full-time,Female,224.0,False,DETE,Veteran,False,False,Teacher,Resignation,False
36-40,False,False,2012,True,Permanent Full-time,Female,225.0,False,DETE,Experienced,False,False,Teacher,Resignation,False
56-60,False,False,2012,True,Permanent Part-time,Female,226.0,False,DETE,Veteran,False,False,Cleaner,Retirement,False
26-30,False,False,2012,False,Temporary Full-time,Female,227.0,False,DETE,New,False,True,Public Servant,Contract Expired,False
46-50,False,False,2012,True,Permanent Full-time,Male,228.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
56-60,False,False,2012,True,Permanent Part-time,Male,229.0,False,DETE,Veteran,True,False,Cleaner,Resignation,False
56-60,False,False,2012,True,Temporary Part-time,Female,230.0,False,DETE,Experienced,True,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,231.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
56-60,False,False,2012,True,Permanent Full-time,Male,232.0,False,DETE,Veteran,False,False,Public Servant,Retirement,True
36-40,False,False,2012,False,Permanent Full-time,Female,233.0,False,DETE,Veteran,False,True,Public Servant,Other,False
46-50,False,False,2012,True,Permanent Full-time,Female,234.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,235.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
21-25,False,False,2012,False,Permanent Full-time,Female,236.0,False,DETE,Experienced,False,False,Technical Officer,Resignation,True
51-55,False,False,2012,True,Permanent Full-time,Female,237.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Male,238.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
51-55,True,False,2012,True,Permanent Part-time,Male,239.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Female,240.0,False,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2013,False,Permanent Full-time,Female,241.0,False,DETE,Veteran,False,True,School Principal,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,242.0,True,DETE,Veteran,False,False,Schools Officer,Retirement,False
51-55,False,False,2013,True,Permanent Full-time,Male,243.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
61 or older,False,False,2012,False,Permanent Part-time,Female,244.0,False,DETE,Veteran,False,True,Teacher Aide,Retirement,False
61 or older,False,False,2012,False,Permanent Full-time,Female,245.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
61 or older,False,False,2012,False,Permanent Part-time,Female,246.0,False,DETE,Veteran,False,True,Public Servant,Retirement,False
51-55,False,False,2012,True,Permanent Full-time,Female,247.0,False,DETE,Veteran,False,False,Public Servant,Retirement,False
26-30,False,False,2013,False,Permanent Full-time,Female,248.0,False,DETE,Experienced,False,False,"School Based Professional Staff (Therapist, nurse, etc)",Resignation,True
31-35,False,False,2012,False,Temporary Full-time,Male,249.0,False,DETE,New,False,False,Teacher,Resignation,False
46-50,False,False,2012,False,Permanent Full-time,Female,250.0,False,DETE,New,False,True,Teacher Aide,Contract Expired,False
26-30,False,False,2013,True,Permanent Full-time,Male,251.0,False,DETE,Established,False,False,Teacher,Resignation,True
61 or older,False,False,2012,False,Permanent Part-time,Female,252.0,True,DETE,Veteran,False,False,Teacher,Retirement,False
61 or older,False,False,2012,True,Permanent Full-time,Male,253.0,False,DETE,New,False,False,Teacher,Retirement,False
51-55,False,False,2012,True,Permanent Part-time,Female,254.0,False,DETE,Veteran,False,False,Cleaner,Retirement,False
31-35,True,False,2012,True,Permanent Part-time,Female,255.0,False,DETE,Veteran,True,False,Teacher,Resignation,False
46-50,True,False,2012,True,Permanent Part-time,Female,256.0,False,DETE,Experienced,False,False,Cleaner,Resignation,False
46-50,False,False,2012,True,Permanent Part-time,Female,257.0,False,DETE,Established,False,False,Teacher Aide,Resignation,False
21-25,False,False,2012,False,Temporary Part-time,Female,258.0,False,DETE,New,False,True,Public Servant,Resignation,False
26-30,True,False,2012,True,Permanent Full-time,Female,259.0,False,DETE,Experienced,False,False,Teacher,Resignation,False
41-45,False,False,2012,True,Permanent Full-time,Male,260.0,False,DETE,Experienced,False,False,Schools Officer,Resignation,False
61 or older,False,False,2012,False,Permanent Full-time,Female,261.0,False,DETE,Veteran,False,True,Cleaner,Retirement,False
56-60,False,False,2012,False,Permanent Full-time,Male,262.0,True,DETE,New,False,False,Schools Officer,Retirement,False
