ID,SeparationType,Cease Date,DETE Start Date,Position,Region,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Gender,Age,Aboriginal,South Sea,Disability,NESB,institute_service
50,Age Retirement,2012,1963.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,49.0
51,Resignation-Move overseas/interstate,2012,2009.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,False,False,False,False,3.0
52,Resignation-Other reasons,2012,1993.0,Cleaner,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,19.0
53,Other,2012,1982.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,30.0
55,Age Retirement,2012,1979.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,False,False,False,False,33.0
56,Resignation-Other employer,2012,2008.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,False,False,False,False,4.0
57,Age Retirement,2012,1990.0,Teacher Aide,Central Queensland,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,22.0
58,Resignation-Other employer,2012,2003.0,Teacher,Darling Downs South West,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,False,False,False,False,9.0
59,Ill Health Retirement,2012,1980.0,Teacher,North Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,51-55,False,False,False,False,32.0
61,Age Retirement,2012,1977.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,46-50,False,False,False,False,35.0
62,Resignation-Other reasons,2012,2011.0,Schools Officer,Central Queensland,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,False,False,False,False,1.0
63,Age Retirement,2012,1990.0,Teacher Aide,Central Office,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,22.0
64,Ill Health Retirement,2012,1989.0,Schools Officer,Metropolitan,Permanent Full-time,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,Male,56-60,False,False,False,False,23.0
65,Age Retirement,2012,1969.0,Teacher,North Coast,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,False,False,False,False,43.0
66,Age Retirement,2012,1966.0,Head of Curriculum/Head of Special Education,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,61 or older,False,False,False,False,46.0
67,Other,2012,1969.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,False,False,False,False,43.0
69,Age Retirement,2012,1980.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Female,61 or older,False,False,False,False,32.0
70,Resignation-Other reasons,2012,2006.0,Public Servant,Central Office,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,6.0
71,Age Retirement,2012,1975.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,Female,56-60,False,False,False,False,37.0
72,Resignation-Other reasons,2012,2011.0,Teacher Aide,Far North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,False,False,False,False,1.0
74,Contract Expired,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,False,3.0
75,Age Retirement,2012,1975.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,37.0
76,Contract Expired,2012,2010.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,True,2.0
77,Ill Health Retirement,2012,1984.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,False,False,False,False,28.0
78,Termination,2012,2007.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,False,False,False,False,5.0
79,Contract Expired,2012,2008.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,False,False,False,False,4.0
80,Termination,2012,2007.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,False,False,False,False,5.0
81,Contract Expired,2012,1968.0,Public Servant,Central Office,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,44.0
82,Contract Expired,2012,2011.0,Technical Officer,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,False,False,True,False,1.0
83,Voluntary Early Retirement (VER),2012,1991.0,Deputy Principal,Not Stated,Permanent Full-time,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,True,False,False,False,21.0
84,Contract Expired,2012,2011.0,Public Servant,Metropolitan,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,True,1.0
85,Termination,2012,2010.0,Public Servant,Not Stated,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,False,False,False,False,2.0
86,Age Retirement,2012,1971.0,School Principal,Metropolitan,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,56-60,False,False,False,False,41.0
87,Termination,2012,2011.0,Public Servant,South East,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,False,False,False,False,1.0
88,Resignation-Move overseas/interstate,2012,2007.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,False,False,False,False,5.0
89,Termination,2012,2002.0,Public Servant,Metropolitan,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,46-50,False,False,False,False,10.0
90,Age Retirement,2013,1972.0,Teacher,Central Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,False,False,False,False,41.0
91,Resignation-Other employer,2012,1986.0,Teacher Aide,North Coast,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,26.0
92,Age Retirement,2012,1975.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Male,56-60,False,False,False,False,37.0
93,Age Retirement,2012,1972.0,Head of Curriculum/Head of Special Education,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,40.0
94,Resignation-Move overseas/interstate,2012,2002.0,Teacher,South East,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,False,False,False,False,10.0
95,Voluntary Early Retirement (VER),2012,1973.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,False,False,False,True,39.0
96,Age Retirement,2012,1979.0,Teacher,Central Queensland,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,33.0
97,Age Retirement,2012,1971.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56-60,False,False,False,False,41.0
98,Age Retirement,2012,1978.0,Teacher,North Coast,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,34.0
99,Age Retirement,2012,2002.0,Schools Officer,North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,False,False,False,False,10.0
100,Resignation-Move overseas/interstate,2012,2011.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,31-35,False,False,False,False,1.0
101,Resignation-Other reasons,2012,2006.0,Teacher Aide,Not Stated,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,False,False,False,False,6.0
102,Age Retirement,2012,1978.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,34.0
103,Resignation-Other reasons,2012,2002.0,Teacher,Darling Downs South West,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,False,False,False,False,10.0
104,Resignation-Other reasons,2012,2004.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,False,False,False,False,8.0
105,Age Retirement,2012,1979.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,33.0
106,Age Retirement,2012,2000.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,12.0
108,Ill Health Retirement,2012,1998.0,Teacher,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,False,False,False,False,14.0
109,Resignation-Other reasons,2012,2008.0,Technical Officer,Central Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,False,False,False,False,4.0
110,Age Retirement,2012,1990.0,Public Servant,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,False,False,False,False,22.0
111,Ill Health Retirement,2012,1991.0,Teacher,Not Stated,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,61 or older,False,False,False,False,21.0
112,Resignation-Other reasons,2012,2004.0,Teacher,Far North Queensland,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,8.0
113,Resignation-Other reasons,2012,2007.0,Cleaner,North Queensland,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,5.0
114,Age Retirement,2012,2009.0,Schools Officer,Not Stated,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,True,False,False,False,3.0
115,Resignation-Move overseas/interstate,2012,1997.0,Guidance Officer,Darling Downs South West,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,15.0
116,Age Retirement,2012,1974.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,38.0
117,Resignation-Other reasons,2012,1976.0,Teacher,South East,Permanent Full-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,False,False,False,False,36.0
118,Ill Health Retirement,2012,1986.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,False,False,False,False,26.0
119,Resignation-Other employer,2012,2010.0,Teacher,Not Stated,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,False,False,False,False,2.0
120,Contract Expired,2012,2008.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,False,False,False,False,4.0
121,Termination,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,3.0
123,Age Retirement,2012,1979.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,False,33.0
125,Resignation-Other employer,2012,2012.0,Public Servant,Darling Downs South West,Permanent Part-time,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,False,0.0
126,Age Retirement,2012,1991.0,Cleaner,Far North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,False,False,False,True,21.0
127,Resignation-Other reasons,2012,1980.0,Teacher,South East,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,32.0
128,Age Retirement,2013,1989.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,False,False,False,False,24.0
129,Age Retirement,2012,1977.0,Teacher,Metropolitan,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,False,False,False,False,35.0
130,Voluntary Early Retirement (VER),2012,1975.0,Head of Curriculum/Head of Special Education,North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Female,56-60,False,False,False,False,37.0
131,Resignation-Other employer,2012,2012.0,Public Servant,Central Office,Temporary Full-time,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,51-55,False,False,False,False,0.0
132,Age Retirement,2012,1990.0,Teacher Aide,North Coast,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,22.0
133,Resignation-Other reasons,2012,2007.0,Cleaner,North Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,False,False,False,False,5.0
135,Voluntary Early Retirement (VER),2012,1983.0,Business Service Manager,Far North Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,False,False,False,False,29.0
136,Resignation-Other reasons,2012,1994.0,Teacher Aide,Metropolitan,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,18.0
138,Age Retirement,2012,2001.0,Teacher,Far North Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,False,False,False,False,11.0
139,Resignation-Other employer,2012,2004.0,Teacher Aide,Darling Downs South West,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,False,False,False,False,8.0
140,Ill Health Retirement,2012,1974.0,Teacher,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,False,False,False,False,38.0
142,Age Retirement,2012,1973.0,Teacher,South East,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,Male,56-60,False,False,False,False,39.0
143,Ill Health Retirement,2012,1983.0,Head of Curriculum/Head of Special Education,Darling Downs South West,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,False,False,False,False,29.0
145,Age Retirement,2012,1971.0,Teacher,Not Stated,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,False,False,False,False,41.0
146,Resignation-Other reasons,2012,2007.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,False,False,False,False,5.0
148,Resignation-Other employer,2012,2003.0,Public Servant,Metropolitan,Permanent Full-time,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Male,26-30,False,False,False,False,9.0
149,Age Retirement,2012,1997.0,Cleaner,Not Stated,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,15.0
150,Other,2012,2008.0,Public Servant,Central Office,Permanent Full-time,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,False,False,False,False,4.0
151,Termination,2012,1996.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,False,False,False,False,16.0
153,Other,2012,1993.0,Public Servant,Central Office,Permanent Full-time,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,Female,36-40,False,False,False,True,19.0
154,Termination,2012,2002.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,False,False,False,True,10.0
155,Voluntary Early Retirement (VER),2012,1971.0,Public Servant,Central Office,Permanent Full-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,61 or older,False,False,False,False,41.0
156,Voluntary Early Retirement (VER),2012,2006.0,Public Servant,Central Office,Permanent Full-time,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,21-25,False,False,False,False,6.0
157,Other,2012,2007.0,Technical Officer,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,False,False,False,False,5.0
158,Other,2012,2009.0,Public Servant,Central Office,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,False,False,False,False,3.0
